名稱,緯度,經度,類別,城市,區域,說明,座標精度,Google Maps
武雄市圖書館,33.189131,130.023662,景點,佐賀,武雄市,"武雄市図書館
書店與咖啡結合的公共圖書館／挑高書牆
日本最有名的公共圖書館改造案例，與蔦屋書店、星巴克結合，年中無休。
武雄溫泉站步行約 15 分或搭巴士；館內部分區域禁止攝影。
價位：免費
營業：09:00–21:00
建議停留：1 小時",nominatim,https://www.google.com/maps/search/?api=1&query=%E6%AD%A6%E9%9B%84%E5%B8%82%E5%9B%B3%E6%9B%B8%E9%A4%A8%20%E6%AD%A6%E9%9B%84%E5%B8%82
倉敷美觀地區,34.595739,133.771765,景點,其他,岡山縣倉敷市,"倉敷美観地区
白牆黑瓦的江戶商家街與柳川運河，是「跨出九州」路線裡最有畫面的一站。
⚠️ 博多約 1 小時 45 分–2 小時（山陽新幹線），不在 JR 九州 Pass 範圍，往返車資另計。本次沒排。
建議停留：2–3 小時",google,https://www.google.com/maps/search/?api=1&query=%E5%80%89%E6%95%B7%E7%BE%8E%E8%A6%B3%E5%9C%B0%E5%8C%BA%20%E5%B2%A1%E5%B1%B1%E7%B8%A3%E5%80%89%E6%95%B7%E5%B8%82
嚴島神社（宮島）,34.296534,132.319005,景點,其他,廿日市市,"厳島神社
海上大鳥居（世界遺產）／迴廊／表參道商店街
世界遺產，海上大鳥居是日本最具代表性的風景之一；社殿與參道全為平地。
廣島站→宮島口約 30 分＋渡輪 10 分；另收宮島訪問稅。彌山登山不排（需 1.5 小時以上）。
門票：約 ¥300
營業：06:30–18:00
建議停留：3–4 小時",nominatim,https://www.google.com/maps/search/?api=1&query=%E5%8E%B3%E5%B3%B6%E7%A5%9E%E7%A4%BE%20%E5%BB%BF%E6%97%A5%E5%B8%82%E5%B8%82
海響館（下關市立水族館）,33.954619,130.942361,景點,北九州,下關市,"海響館
世界最多河豚展示／藍鯨骨骼標本／企鵝村
以河豚展示種類世界第一著稱，就在唐戶市場旁；雨天與冬天的室內備案。
門票：約 ¥2,090
營業：09:30–17:30
建議停留：1.5–2 小時",google,https://www.google.com/maps/search/?api=1&query=%E6%B5%B7%E9%9F%BF%E9%A4%A8%20%E4%B8%8B%E9%97%9C%E5%B8%82
舊門司三井俱樂部,33.945723,130.962575,景點,北九州,北九州市,"旧門司三井倶楽部
1921 年洋館（重要文化財）／愛因斯坦住過的房間／林芙美子紀念室
愛因斯坦夫婦 1922 年訪日時住過的洋館，內部保存完好。
門票：約 ¥150（2F）
營業：09:00–17:00
建議停留：30 分",nominatim,https://www.google.com/maps/search/?api=1&query=%E6%97%A7%E9%96%80%E5%8F%B8%E4%B8%89%E4%BA%95%E5%80%B6%E6%A5%BD%E9%83%A8%20%E5%8C%97%E4%B9%9D%E5%B7%9E%E5%B8%82
角島大橋,34.351237,130.889214,景點,北九州,下關市,"1780 公尺跨海大橋／翡翠色海水／日本百景
山口縣最出名的風景，橋身跨過翡翠色淺海，是日本汽車廣告的常用場景。
⚠️ 從下關站需搭巴士約 1 小時或自駕，JR 為主的行程不容易排；列為備選。
價位：免費
建議停留：半天（含交通）",google,https://www.google.com/maps/search/?api=1&query=%E8%A7%92%E5%B3%B6%E5%A4%A7%E6%A9%8B%20%E4%B8%8B%E9%97%9C%E5%B8%82
赤間神宮,33.959716,130.948777,景點,北九州,下關市,"水天門（朱紅龍宮造）／安德天皇陵／耳無芳一堂
祭祀壇之浦之戰中投海的安德天皇，朱紅色水天門面對關門海峽非常好拍。
唐戶市場步行約 8 分；平地。
價位：免費
建議停留：30 分",overpass,https://www.google.com/maps/search/?api=1&query=%E8%B5%A4%E9%96%93%E7%A5%9E%E5%AE%AE%20%E4%B8%8B%E9%97%9C%E5%B8%82
門司港復古區,33.946204,130.96301,景點,北九州,北九州市,"門司港レトロ
大正時代洋館群／跳ね橋（藍翼門司橋）／關門海峽展望
大正時代作為國際貿易港留下的洋館群，整區維持復古街景，可以看關門海峽對岸的下關。
全區平地，步行即可；冬天海邊風大。
價位：免費（各館另計）
建議停留：2–3 小時",google,https://www.google.com/maps/search/?api=1&query=%E9%96%80%E5%8F%B8%E6%B8%AF%E3%83%AC%E3%83%88%E3%83%AD%20%E5%8C%97%E4%B9%9D%E5%B7%9E%E5%B8%82
門司港站,33.945132,130.961474,景點,北九州,北九州市,"門司港駅
1914 年新文藝復興樣式站舍（重要文化財）／復原的大正時代候車室
日本唯一被指定為重要文化財的車站建築，2019 年完成復原工程，本身就是景點。
站前就是門司港復古區，各景點步行都在 10 分內。
價位：免費
建議停留：30 分",overpass,https://www.google.com/maps/search/?api=1&query=%E9%96%80%E5%8F%B8%E6%B8%AF%E9%A7%85%20%E5%8C%97%E4%B9%9D%E5%B7%9E%E5%B8%82
關門海峽博物館,33.943797,130.956786,景點,北九州,北九州市,"関門海峡ミュージアム
海峽歷史立體劇場／復原的大正街道「海峽復古通」／展望台
用大型展示講關門海峽的歷史，館內的復原街道是雨天最好的備案。
門票：約 ¥500
營業：09:00–17:00
建議停留：1–1.5 小時",nominatim,https://www.google.com/maps/search/?api=1&query=%E9%96%A2%E9%96%80%E6%B5%B7%E5%B3%A1%E3%83%9F%E3%83%A5%E3%83%BC%E3%82%B8%E3%82%A2%E3%83%A0%20%E5%8C%97%E4%B9%9D%E5%B7%9E%E5%B8%82
