名稱,緯度,經度,類別,城市,區域,說明,座標精度,Google Maps
BEAR FRUITS（燒咖哩）,33.9456,130.9612,餐飲,北九州,北九州市,"ベアフルーツ 門司港本店
門司港名物「燒咖哩」的人氣代表店，咖哩上鋪蛋與起司焗烤，就在門司港站旁。
約 ¥1,000–1,500；用餐時段排隊。門司港有 20 幾家燒咖哩店，這家最好找。
價位：約 ¥1,000–1,500
營業：11:00–21:00
建議停留：45 分
食べログ 3.50",manual,https://www.google.com/maps/search/?api=1&query=%E3%83%99%E3%82%A2%E3%83%95%E3%83%AB%E3%83%BC%E3%83%84%20%E9%96%80%E5%8F%B8%E6%B8%AF%E6%9C%AC%E5%BA%97%20%E5%8C%97%E4%B9%9D%E5%B7%9E%E5%B8%82
こがねむし,33.946905,130.966453,餐飲,北九州,北九州市・門司港,"門司地區第 1 名，昭和感十足的老喫茶店。
⚠️ 門司港整體分數天花板較低（第 1 名 3.58），這是小城市的常態，不代表不好吃。
食べログ 3.58",nominatim,https://www.google.com/maps/search/?api=1&query=%E3%81%93%E3%81%8C%E3%81%AD%E3%82%80%E3%81%97%20%E5%8C%97%E4%B9%9D%E5%B7%9E%E5%B8%82%E3%83%BB%E9%96%80%E5%8F%B8%E6%B8%AF
つる平 アミュプラザ小倉,33.88664,130.881977,餐飲,北九州,北九州市・小倉,"小倉站 AMU PLAZA 內的和菓子店，穆斯林對應——2/4 在小倉轉車時可買伴手禮。
清真：友善",google,https://www.google.com/maps/search/?api=1&query=%E3%81%A4%E3%82%8B%E5%B9%B3%20%E3%82%A2%E3%83%9F%E3%83%A5%E3%83%97%E3%83%A9%E3%82%B6%E5%B0%8F%E5%80%89%20%E5%8C%97%E4%B9%9D%E5%B7%9E%E5%B8%82%E3%83%BB%E5%B0%8F%E5%80%89
ふく料理 しのだ,33.953567,130.920736,餐飲,北九州,下關市,"下關人說「ふく」不說「ふぐ」（避開「不遇」的諧音）——這家店名就是這個在地說法。
食べログ 3.56",google,https://www.google.com/maps/search/?api=1&query=%E3%81%B5%E3%81%8F%E6%96%99%E7%90%86%20%E3%81%97%E3%81%AE%E3%81%A0%20%E4%B8%8B%E9%97%9C%E5%B8%82
もじこい,33.945906,130.963657,餐飲,北九州,北九州市・門司港,"門司港的清真對應咖哩店，與プリンセスピピ 一起讓門司港成為這趟少數清真選項充足的地方。
⚠️ 出發前請再確認營業狀況。
清真：True",google,https://www.google.com/maps/search/?api=1&query=%E3%82%82%E3%81%98%E3%81%93%E3%81%84%20%E5%8C%97%E4%B9%9D%E5%B7%9E%E5%B8%82%E3%83%BB%E9%96%80%E5%8F%B8%E6%B8%AF
フルーツファクトリー モーン デ レトロ,33.947717,130.963436,餐飲,北九州,北九州市・門司港,"水果店直營的甜點咖啡，門司港復古區內的休息點。
食べログ 3.54",google,https://www.google.com/maps/search/?api=1&query=%E3%83%95%E3%83%AB%E3%83%BC%E3%83%84%E3%83%95%E3%82%A1%E3%82%AF%E3%83%88%E3%83%AA%E3%83%BC%20%E3%83%A2%E3%83%BC%E3%83%B3%20%E3%83%87%20%E3%83%AC%E3%83%88%E3%83%AD%20%E5%8C%97%E4%B9%9D%E5%B7%9E%E5%B8%82%E3%83%BB%E9%96%80%E5%8F%B8%E6%B8%AF
プリンセスピピ門司港,33.945545,130.960993,餐飲,北九州,北九州市・門司港,"世界にひとつだけの焼きカレー プリンセスピピ門司港
⭐ 難得的雙重身分：既在門司港燒咖哩的 Tabelog 排行內（3.43），又被列為穆斯林對應店——清真旅客在 2/4 也吃得到門司港名物。
⚠️ 為「對應」而非認證，點餐時請向店家確認。
食べログ 3.43
清真：友善",nominatim,https://www.google.com/maps/search/?api=1&query=%E4%B8%96%E7%95%8C%E3%81%AB%E3%81%B2%E3%81%A8%E3%81%A4%E3%81%A0%E3%81%91%E3%81%AE%E7%84%BC%E3%81%8D%E3%82%AB%E3%83%AC%E3%83%BC%20%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%83%94%E3%83%94%E9%96%80%E5%8F%B8%E6%B8%AF%20%E5%8C%97%E4%B9%9D%E5%B7%9E%E5%B8%82%E3%83%BB%E9%96%80%E5%8F%B8%E6%B8%AF
ミルクホール門司港,33.945784,130.961365,餐飲,北九州,北九州市・門司港,"門司港復古區的老派喫茶店，配合整區大正氛圍。
食べログ 3.50",google,https://www.google.com/maps/search/?api=1&query=%E3%83%9F%E3%83%AB%E3%82%AF%E3%83%9B%E3%83%BC%E3%83%AB%E9%96%80%E5%8F%B8%E6%B8%AF%20%E5%8C%97%E4%B9%9D%E5%B7%9E%E5%B8%82%E3%83%BB%E9%96%80%E5%8F%B8%E6%B8%AF
レストラン 高津,33.951678,130.943673,餐飲,北九州,下關市,"下關地區食べログ排行前段（4.09）。這批是我用 Tabelog 各區「依評分排序」頁面掃出來、原本名單漏掉的高分店。
⚠️ 只查證了分數與所在地區，營業時間、價位、是否需預約都未查證——多為高單價或預約制，去之前請用 popup 的食べログ連結自行確認。座標為區域概略位置，導航用 Google Maps 連結。
建議停留：1–2 小時
食べログ 4.09",area,https://www.google.com/maps/search/?api=1&query=%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3%20%E9%AB%98%E6%B4%A5%20%E4%B8%8B%E9%97%9C%E5%B8%82
三井倶楽部（レストラン）,33.945547,130.963496,餐飲,北九州,北九州市・門司港,"三井倶楽部
就在舊門司三井俱樂部（愛因斯坦住過的洋館）裡的餐廳，可以在重要文化財裡吃飯。
食べログ 3.44",area,https://www.google.com/maps/search/?api=1&query=%E4%B8%89%E4%BA%95%E5%80%B6%E6%A5%BD%E9%83%A8%20%E5%8C%97%E4%B9%9D%E5%B7%9E%E5%B8%82%E3%83%BB%E9%96%80%E5%8F%B8%E6%B8%AF
三枡,33.951061,130.924253,餐飲,北九州,下關市,"下關評分第 2 名（第 1 名是法式），做河豚與海鮮的居酒屋——比正式割烹好入手。
⚠️ 建議訂位。
食べログ 3.76",google,https://www.google.com/maps/search/?api=1&query=%E4%B8%89%E6%9E%A1%20%E4%B8%8B%E9%97%9C%E5%B8%82
