名稱,緯度,經度,類別,城市,區域,說明,座標精度,Google Maps
ゆふいん七色の風,33.26008,131.378393,住宿,大分,由布市,"全客室附露天風呂／正對由布岳的景觀／一泊二食・豐後牛
⭐ 由布院首選，最符合你「房間可以泡溫泉」的條件。全部客室都附露天風呂，而且正對由布岳——由布院是山中盆地，看不到海，這裡的「由布岳雪冠＋房內露天」就是它的等價風景。價位帶約 ¥20,000–30,000／人（一泊二食），落在你的預算內。
⚠️ 房價與房型需逐一確認（樂天／一休／官網）；平日（2/8 週一、2/9 週二）比週末便宜 30–50%，你的日期剛好是平日，這點很有利。好旅館 6–12 個月前開賣，現在就要訂。
價位：約 ¥20,000–30,000／人・晚（一泊二食）
建議停留：備選",nominatim,https://www.google.com/maps/search/?api=1&query=%E3%82%86%E3%81%B5%E3%81%84%E3%82%93%E4%B8%83%E8%89%B2%E3%81%AE%E9%A2%A8%20%E7%94%B1%E5%B8%83%E5%B8%82
亀の井別荘,33.265743,131.367421,住宿,大分,由布市,"由布院御三家／湯の岳庵・天井棧敷
湯布院食べログ第 1 名（3.93，以料理旅館身分）。由布院御三家之一，也是「由布院式旅館」的開創者。
⚠️ 不住也能去——館內的「湯の岳庵」（3.74）與「茶房 天井棧敷」（3.66）對外開放。
食べログ 3.93",google,https://www.google.com/maps/search/?api=1&query=%E4%BA%80%E3%81%AE%E4%BA%95%E5%88%A5%E8%8D%98%20%E7%94%B1%E5%B8%83%E5%B8%82
山莊無量塔,33.275779,131.369751,住宿,大分,由布市,"山荘無量塔
古民家移築的獨棟客室／全室附風呂／Theomurata 巧克力・アルテジオ美術館
由布院御三家之一，也是日本最有名的旅館之一。古民家移築的獨棟客室、極高的私密性。⚠️ 價位約 ¥60,000 以上／人（一泊二食），遠超 ¥20,000——如果預算是台幣 2 萬（約 ¥95,000），這家與 亀の井別荘、玉の湯、束ノ間 屬於同一級距。
⚠️ 需極早訂（半年以上），房價需自行查。同集團經營 B-speak 與空想之森アルテジオ。
價位：約 ¥60,000 以上／人・晚（一泊二食）
建議停留：若預算是台幣 2 萬等級
食べログ 3.89",nominatim,https://www.google.com/maps/search/?api=1&query=%E5%B1%B1%E8%8D%98%E7%84%A1%E9%87%8F%E5%A1%94%20%E7%94%B1%E5%B8%83%E5%B8%82
柚富の郷 彩岳館,33.254775,131.364113,住宿,大分,由布市,"由布岳正面的展望露天風呂／部分客室附露天風呂／一泊二食
由布院 CP 值最常被提到的一家。大浴場的展望露天風呂正對由布岳，視野是全由布院前段班；價位約 ¥20,000–30,000／人。
⚠️ 不是全部房型都有客室露天風呂——訂房時務必選「露天風呂付き」的房型，否則只有大浴場。位置在金鱗湖以東的山手，旅館有接送。
價位：約 ¥20,000–30,000／人・晚（一泊二食）
建議停留：由布院的替代選擇
食べログ 3.55",google,https://www.google.com/maps/search/?api=1&query=%E6%9F%9A%E5%AF%8C%E3%81%AE%E9%83%B7%20%E5%BD%A9%E5%B2%B3%E9%A4%A8%20%E7%94%B1%E5%B8%83%E5%B8%82
由布の彩 YADOYA おおはし,33.260621,131.34188,住宿,大分,由布市,"客室附露天風呂／由布院站步行圈／貸切風呂
離由布院站較近、走得到湯之坪街道的一家，客室露天房型齊，適合不想每次進出都靠接送的人。
⚠️ 同樣要指定「露天風呂付き」房型；房價需自行查。
價位：約 ¥20,000–30,000／人・晚（一泊二食）
建議停留：由布院的替代選擇",google,https://www.google.com/maps/search/?api=1&query=%E7%94%B1%E5%B8%83%E3%81%AE%E5%BD%A9%20YADOYA%20%E3%81%8A%E3%81%8A%E3%81%AF%E3%81%97%20%E7%94%B1%E5%B8%83%E5%B8%82
由布院別邸 樹,33.2645536,131.3656733,住宿,大分,由布市,"全 14 室離れ・各室專用溫泉／庭園與足湯／創作会席「十和蔵会席」
✅ 已選定（由布院 2 晚：2/1–2/2）。全室獨棟離れ共 13 棟 14 室，每一室都有專用半露天或內湯溫泉（單純泉、24 小時可泡），不必和別人共用大浴場。晚餐是創作日本料理「十和蔵会席」，早餐走少見的 American breakfast 形式、食材幾乎全部由布院產。
🚕 提供計程車接送：住宿客可在由布院站或巴士中心搭計程車，跟司機說「由布院別邸樹」即可；退房時櫃檯發給回程計程車券（往復チケット）。⚠️ 步行需 20 分（1.0 km），拖行李務必用接送。⚠️ 晚餐 18:00／19:00、早餐 8:00／8:30／9:00，皆完全預約制、需前一日前指定時段。⚠️ check-in 15:00（最終 18:00）、check-out 11:00。☪ 官網僅寫「過敏可盡量對應、訂房時告知」，未提供清真對應，會席必有高湯與味醂——有清真需求務必訂房時就先講。
〒879-5102 大分県由布市湯布院町川上2652-2
價位：官網未公開定價，須以空室檢索查（一泊二食）
建議停留：住 2 晚（2/1–2/2）",official_kml,https://www.google.com/maps/search/?api=1&query=%E7%94%B1%E5%B8%83%E9%99%A2%E5%88%A5%E9%82%B8%20%E6%A8%B9%20%E7%94%B1%E5%B8%83%E5%B8%82
草庵秋櫻,33.266681,131.366257,住宿,大分,由布市,"草庵秋桜
和室與離れ客室／客室露天／半露天風呂／懷石料理
由布院中上級的老牌旅館，料理評價高，客室露天／半露天房型多。價位比七色の風高一階（約 ¥25,000–35,000／人），若想再往上升一級可以看這家。
⚠️ 需確認房型是否含客室露天；房價需自行查。
價位：約 ¥25,000–35,000／人・晚（一泊二食）
建議停留：預算再往上一階時",google,https://www.google.com/maps/search/?api=1&query=%E8%8D%89%E5%BA%B5%E7%A7%8B%E6%A1%9C%20%E7%94%B1%E5%B8%83%E5%B8%82
Grand Hyatt Fukuoka,33.589846,130.410386,住宿,福岡,博多區・住吉,"グランド ハイアット 福岡
博多運河城直結／室內泳池與健身房／博多站步行約 10 分
⭐ 購物最方便的選擇。與博多運河城（キャナルシティ）直接連通，出房門就是商場與拉麵競技場；走到中洲屋台、川端商店街都在 10 分內。
⚠️ 價位比商務飯店高一階；博多站要走約 10 分或搭一站地鐵，帶大行李時略不便。
建議停留：購物優先時的替代",nominatim,https://www.google.com/maps/search/?api=1&query=%E3%82%B0%E3%83%A9%E3%83%B3%E3%83%89%20%E3%83%8F%E3%82%A4%E3%82%A2%E3%83%83%E3%83%88%20%E7%A6%8F%E5%B2%A1%20%E5%8D%9A%E5%A4%9A%E5%8D%80%E3%83%BB%E4%BD%8F%E5%90%89
THE BLOSSOM HAKATA Premier,33.590247,130.414007,住宿,福岡,博多區・博多站,"博多站筑紫口步行約 4 分／男女分開的大浴場／JR 九州直營
（備選）JR 九州自己開的飯店，博多站步行 4 分、有大浴場（泡完一天的車程很舒服），房間也比同價位的商務飯店大。地鐵 5 分到機場，回程日最省事。
⚠️ 房價與空房需自行查（樂天／一休／官網）；2/10–2/11 含建國紀念日連假會偏高，建議 2026 年 11 月前訂。
建議停留：備選",nominatim,https://www.google.com/maps/search/?api=1&query=THE%20BLOSSOM%20HAKATA%20Premier%20%E5%8D%9A%E5%A4%9A%E5%8D%80%E3%83%BB%E5%8D%9A%E5%A4%9A%E7%AB%99
ソラリア西鉄ホテル福岡,33.589255,130.399422,住宿,福岡,中央區・天神,"西鐵福岡（天神）站直結／天神百貨圈中心／太宰府與柳川的西鐵起點
⭐ 天神商圈最方便。與西鐵福岡（天神）站直結——而你的太宰府（2/10）與柳川（2/11）都是搭西鐵，住這裡早上直接下樓上車；岩田屋、三越、PARCO、大丸全在步行 5 分內。
⚠️ 缺點是離博多站與機場遠一階（地鐵 5 分＋轉乘），JR 特急要先到博多站。若你把購物看得比 JR 方便更重，這是最佳解。
建議停留：天神派的首選",nominatim,https://www.google.com/maps/search/?api=1&query=%E3%82%BD%E3%83%A9%E3%83%AA%E3%82%A2%E8%A5%BF%E9%89%84%E3%83%9B%E3%83%86%E3%83%AB%E7%A6%8F%E5%B2%A1%20%E4%B8%AD%E5%A4%AE%E5%8D%80%E3%83%BB%E5%A4%A9%E7%A5%9E
