名稱,緯度,經度,類別,城市,區域,說明,座標精度,Google Maps
武雄溫泉站,33.196407,130.022979,交通,佐賀,武雄市,"武雄温泉駅
西九州新幹線與接力かもめ 對面換車／武雄溫泉樓門
博多往長崎必經的換車站，同一月台對面換車只要 3 分鐘。
若想停留，站前有國家重要文化財「武雄溫泉樓門」與百年公共浴場，步行約 10 分。
建議停留：換車 3 分",overpass,https://www.google.com/maps/search/?api=1&query=%E6%AD%A6%E9%9B%84%E6%B8%A9%E6%B3%89%E9%A7%85%20%E6%AD%A6%E9%9B%84%E5%B8%82
京都站（跨區參考）,34.98535,135.758766,交通,其他,京都府京都市,"京都駅
新幹線 2.5–2.9 小時，技術上在你的 3 小時圈內，所以列在備選地圖上作為距離參考。
⚠️ 明確不建議：會吃掉整趟節奏且完全離開九州，也不在 JR 九州 Pass 範圍。",nominatim,https://www.google.com/maps/search/?api=1&query=%E4%BA%AC%E9%83%BD%E9%A7%85%20%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%BA%AC%E9%83%BD%E5%B8%82
大阪站（跨區參考）,34.702509,135.496177,交通,其他,大阪府大阪市,"大阪駅
新幹線約 2.5 小時，同樣在 3 小時圈內，列出來當距離參考。
⚠️ 明確不建議：離開九州太遠，不在 JR 九州 Pass 範圍。",nominatim,https://www.google.com/maps/search/?api=1&query=%E5%A4%A7%E9%98%AA%E9%A7%85%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82
廣島站,34.397826,132.475577,交通,其他,廣島市,"広島駅
山陽新幹線（博多 1 小時 5 分）／往宮島的 JR 山陽線
博多搭のぞみ只要 1 小時 5 分，是「跨出九州」裡最快的大城市。
⚠️ 山陽新幹線屬 JR 西日本，JR 九州 Pass 不含；單程指定席約 ¥9,540，往返約 ¥19,000。
建議停留：轉乘 15 分",nominatim,https://www.google.com/maps/search/?api=1&query=%E5%BA%83%E5%B3%B6%E9%A7%85%20%E5%BB%A3%E5%B3%B6%E5%B8%82
小倉站,33.88676,130.882184,交通,北九州,北九州市,"小倉駅
山陽新幹線停靠／往門司港與下關的轉乘點／單軌電車
博多搭新幹線只要 17 分；往門司港（15 分）與下關（約 13 分）都從這裡轉普通車。
下關屬 JR 西日本區間，但 JR 九州 Pass 全九州版包含博多—下關；購買前再確認一次。
建議停留：轉乘 10–15 分",nominatim,https://www.google.com/maps/search/?api=1&query=%E5%B0%8F%E5%80%89%E9%A7%85%20%E5%8C%97%E4%B9%9D%E5%B7%9E%E5%B8%82
日田站,33.317109,130.938717,交通,大分,日田市,"日田駅
由布院搭 JR 久大本線約 1 小時，是由布院當日往返最順的老街目的地。
⚠️ 久大本線班次少（約 1–2 小時一班），去之前一定要先查回程時刻。
建議停留：轉乘 10 分",manual,https://www.google.com/maps/search/?api=1&query=%E6%97%A5%E7%94%B0%E9%A7%85%20%E6%97%A5%E7%94%B0%E5%B8%82
由布院站,33.26267,131.355101,交通,大分,由布市,"由布院駅
ゆふいんの森 終點／站內足湯／磯崎新設計的木造站舍
觀光列車「ゆふいんの森」的終點，站內就有足湯；由布院所有步行動線都從這裡開始，而且全程平路。
ゆふいんの森 為全車指定席，乘車日 1 個月前 10:00（JST）開賣，是九州最難訂的觀光列車之一。
建議停留：轉乘 10 分",google,https://www.google.com/maps/search/?api=1&query=%E7%94%B1%E5%B8%83%E9%99%A2%E9%A7%85%20%E7%94%B1%E5%B8%83%E5%B8%82
熊本站,32.790412,130.688622,交通,熊本,熊本市,"熊本駅
九州新幹線（博多 35 分）／市電轉乘
博多搭新幹線只要 35 分，是最省時的日歸選項。
熊本城要從熊本站搭市電約 15 分到「熊本城・市役所前」。
建議停留：轉乘 15 分",nominatim,https://www.google.com/maps/search/?api=1&query=%E7%86%8A%E6%9C%AC%E9%A7%85%20%E7%86%8A%E6%9C%AC%E5%B8%82
博多巴士總站,33.591484,130.41982,交通,福岡,博多區・博多站,"博多バスターミナル
3F＝高速巴士乘車處／豪斯登堡一日遊 31 號乘車處／博多站步行 2 分
2/2 豪斯登堡一日遊的出發地。就在博多站旁，從東急STAY博多 走過來約 5 分。
⚠️ 高速巴士在 3 樓，第一次去很容易在 1 樓繞（多位旅客的評論都提到這點）——預留 20 分找乘車處。豪斯登堡線是 31 號乘車處。回程下車與去程上車是同一區的「紅色 3 號」乘車處。
建議停留：報到 20 分",google,https://www.google.com/maps/search/?api=1&query=%E5%8D%9A%E5%A4%9A%E3%83%90%E3%82%B9%E3%82%BF%E3%83%BC%E3%83%9F%E3%83%8A%E3%83%AB%20%E5%8D%9A%E5%A4%9A%E5%8D%80%E3%83%BB%E5%8D%9A%E5%A4%9A%E7%AB%99
博多站,33.590041,130.419903,交通,福岡,博多區,"博多駅
JR九州特急與新幹線起點／地鐵空港線 5 分到機場／阪急百貨・AMU PLAZA
全趟交通樞紐；地鐵空港線直達機場只要 5 分鐘，是福岡最大的地理優勢。
JR Pass 兌換與指定席劃位在 1F 綠色窗口（みどりの窓口），早上 8–10 點最擠。
建議停留：轉乘 10–20 分",nominatim,https://www.google.com/maps/search/?api=1&query=%E5%8D%9A%E5%A4%9A%E9%A7%85%20%E5%8D%9A%E5%A4%9A%E5%8D%80
