名稱,緯度,經度,類別,城市,區域,說明,座標精度,Google Maps
あるあるCity,33.8875512,130.8846773,動漫,北九州,小倉北區・小倉站北口,"まんだらけ・駿河屋／北九州市漫畫博物館（5–6F）／7F 活動廳（聲優活動）
小倉站北口的動漫大樓，一整棟都是動漫相關：まんだらけ、駿河屋、扭蛋與模型店，5–6F 是北九州市漫畫博物館。4.1★、4,212 則評論。
小倉站北口空橋直通、步行 3 分。約 11:00–20:00（各店不同）。⚠️ 2/4 從博多往下關／門司港要在小倉轉車，但轉車空檔只有十幾分鐘，逛不了——真的想逛要另外挪半天。
價位：免費入館
營業：約 11:00–20:00（各店不同）
建議停留：1–2 小時",google,https://www.google.com/maps/search/?api=1&query=%E3%81%82%E3%82%8B%E3%81%82%E3%82%8BCity%20%E5%B0%8F%E5%80%89%E5%8C%97%E5%8D%80%E3%83%BB%E5%B0%8F%E5%80%89%E7%AB%99%E5%8C%97%E5%8F%A3
北九州市漫畫博物館,33.8874206,130.8849869,動漫,北九州,小倉北區・小倉站北口,"北九州市漫画ミュージアム
松本零士（銀河鐵道999）常設展／約 7 萬冊漫畫可自由閱讀／北九州出身漫畫家企劃展
以北九州出身的松本零士（銀河鐵道999、宇宙海賊哈洛克）為核心的漫畫博物館，常設展外還有約 7 萬冊漫畫可以無限看。4.2★、1,114 則評論，是九州最正統的一座漫畫館。
⚠️ 週二休館（2/4 是週四，沒問題）。11:00–19:00、18:30 停止入館，常設展約 ¥480。在小倉站北口的「あるあるCity」5–6F，出站空橋直通、不用走到地面。⚠️ 需要 1.5–2 小時，塞不進 2/4 的門司港動線——見備選清單裡的排法建議。
門票：常設展約 ¥480
營業：11:00–19:00（18:30 停止入館，週二休）
建議停留：1.5–2 小時",google,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E4%B9%9D%E5%B7%9E%E5%B8%82%E6%BC%AB%E7%94%BB%E3%83%9F%E3%83%A5%E3%83%BC%E3%82%B8%E3%82%A2%E3%83%A0%20%E5%B0%8F%E5%80%89%E5%8C%97%E5%8D%80%E3%83%BB%E5%B0%8F%E5%80%89%E7%AB%99%E5%8C%97%E5%8F%A3
銀河鐵道999 星野鐵郎銅像,33.887832,130.8828591,動漫,北九州,小倉北區・小倉站,"銀河鉄道999 星野鉄郎銅像
星野鐵郎銅像／站內另有梅德爾像與車掌長椅
小倉是松本零士的故鄉，小倉站內就放著星野鐵郎銅像。免費、就在站內動線上——2/4 在小倉轉車時花 3 分鐘就能收掉，是這趟最省力的一個動漫點。
⚠️ 不在 1F，在車站上層（空橋／新幹線口層）的通道上。站內另有「999 車掌長椅」與「梅德爾像」，一起看約 10 分。免費、隨時可看。
價位：免費
營業：車站營業時間內
建議停留：5–10 分",google,https://www.google.com/maps/search/?api=1&query=%E9%8A%80%E6%B2%B3%E9%89%84%E9%81%93999%20%E6%98%9F%E9%87%8E%E9%89%84%E9%83%8E%E9%8A%85%E5%83%8F%20%E5%B0%8F%E5%80%89%E5%8C%97%E5%8D%80%E3%83%BB%E5%B0%8F%E5%80%89%E7%AB%99
三麗鷗和諧樂園,33.4001589,131.5468003,動漫,大分,速見郡日出町,"ハーモニーランド
凱蒂貓等三麗鷗角色遊行／戶外遊樂設施與表演／限定商品
⭐ 日本唯一的三麗鷗戶外主題樂園（另一座是室內的東京三麗鷗彩虹樂園），就在大分縣日出町。4.2★、5,047 則評論——喜歡三麗鷗的話這是九州唯一的「本命」。
⚠️⚠️ 兩個大問題：①冬季平日常不營業——12–2 月多為週末與假日限定開園，2/9（週二）極可能休園，務必上 harmonyland.jp 的營業日曆確認。②交通遠：由布院→（久大本線約 1 小時）→大分→（日豐本線約 25 分）→杵築→接駁巴士約 10 分，單程約 2 小時，來回 4 小時。1 日護照約 ¥3,300–3,600（官網／Klook 價差大）。
門票：1 日護照約 ¥3,300–3,600（出發前確認）
營業：約 10:00–17:00（⚠️ 冬季平日多休園，看官網營業日曆）
建議停留：半天以上",google,https://www.google.com/maps/search/?api=1&query=%E3%83%8F%E3%83%BC%E3%83%A2%E3%83%8B%E3%83%BC%E3%83%A9%E3%83%B3%E3%83%89%20%E9%80%9F%E8%A6%8B%E9%83%A1%E6%97%A5%E5%87%BA%E7%94%BA
進擊的巨人 in HITA 博物館,33.2476101,130.9720758,動漫,大分,日田市・大山町,"進撃の巨人 in HITA ミュージアム
諫山創原畫與設定資料／作者出身地企劃展／限定商品
諫山創出身地的官方博物館，在大山水壩旁的道の駅「水辺の郷おおやま」內。4.3★、1,603 則評論，與大山水壩銅像車程 3 分，兩個一起走才完整。
⚠️ 約 10:00–17:00，需門票（出發前上 shingeki-hita.com 確認票價與休館日）。與大山水壩銅像同一區，含交通要留半天。
營業：約 10:00–17:00（官網確認）
建議停留：1 小時",google,https://www.google.com/maps/search/?api=1&query=%E9%80%B2%E6%92%83%E3%81%AE%E5%B7%A8%E4%BA%BA%20in%20HITA%20%E3%83%9F%E3%83%A5%E3%83%BC%E3%82%B8%E3%82%A2%E3%83%A0%20%E6%97%A5%E7%94%B0%E5%B8%82%E3%83%BB%E5%A4%A7%E5%B1%B1%E7%94%BA
進擊的巨人 in HITA 博物館 ANNEX,33.2986117,130.9435722,動漫,大分,日田市・高瀬,"進撃の巨人 in HITAミュージアムANNEX
分館展示與影片放映／札幌啤酒九州日田工廠腹地內
本館的分館，4.5★（548 則）評價比本館還高，開到 19:00。位置比大山町近得多——距日田站約 5 km，是「不想跑大山町、但想看一點」的折衷選項。
在札幌啤酒九州日田工廠腹地內（日田市高瀬）。⚠️ 距日田站約 5 km，仍需巴士或計程車約 10–15 分。約 10:00–19:00，出發前上 shingeki-hita.com 確認。
營業：約 10:00–19:00（官網確認）
建議停留：40 分",google,https://www.google.com/maps/search/?api=1&query=%E9%80%B2%E6%92%83%E3%81%AE%E5%B7%A8%E4%BA%BA%20in%20HITA%E3%83%9F%E3%83%A5%E3%83%BC%E3%82%B8%E3%82%A2%E3%83%A0ANNEX%20%E6%97%A5%E7%94%B0%E5%B8%82%E3%83%BB%E9%AB%98%E7%80%AC
進擊的巨人 大山水壩銅像,33.2434582,130.9574765,動漫,大分,日田市・大山町,"進撃の巨人 大山ダム銅像
艾連・米卡莎・阿爾敏三人銅像／以大山水壩當「牆」的原景
⭐ 進擊的巨人聖地巡禮的正主：作者諫山創童年看著大山水壩想像出「牆」，水壩下就立著艾連、米卡莎、阿爾敏抬頭望牆的三人銅像。4.4★、1,781 則評論，免費、24 小時。
⚠️ 交通是難點：在日田市大山町，距日田站約 12 km。日田巴士「大山線」約 35 分（班次少），或計程車單程約 20–25 分。現場沒有廁所，先在道の駅 水辺の郷おおやま 解決（也是博物館所在地，車程 3 分）。
價位：免費
營業：24 小時
建議停留：30 分",google,https://www.google.com/maps/search/?api=1&query=%E9%80%B2%E6%92%83%E3%81%AE%E5%B7%A8%E4%BA%BA%20%E5%A4%A7%E5%B1%B1%E3%83%80%E3%83%A0%E9%8A%85%E5%83%8F%20%E6%97%A5%E7%94%B0%E5%B8%82%E3%83%BB%E5%A4%A7%E5%B1%B1%E7%94%BA
進擊的巨人 里維兵士長像,33.3168,130.9383166,動漫,大分,日田市・日田站前,"進撃の巨人 リヴァイ兵士長像
里維兵士長銅像／日田站前廣場
《進擊的巨人》作者諫山創是日田市大山町出身，日田站前就立著里維兵士長銅像。4.6★、279 則評論。免費、24 小時，就在站前廣場——2/9 A 案下日田站直接看得到，零繞路。
日田市元町（日田站前）。免費、隨時可看，約 5–10 分。💡 站內觀光案內所有「進撃の巨人 in HITA」的巡禮地圖與周邊。
價位：免費
營業：24 小時
建議停留：5–10 分",google,https://www.google.com/maps/search/?api=1&query=%E9%80%B2%E6%92%83%E3%81%AE%E5%B7%A8%E4%BA%BA%20%E3%83%AA%E3%83%B4%E3%82%A1%E3%82%A4%E5%85%B5%E5%A3%AB%E9%95%B7%E5%83%8F%20%E6%97%A5%E7%94%B0%E5%B8%82%E3%83%BB%E6%97%A5%E7%94%B0%E7%AB%99%E5%89%8D
BANDAI NAMCO Cross Store 博多,33.58944,130.4122,動漫,福岡,博多區・運河城,"バンダイナムコ Cross Store 博多
官方角色商店區／遊戲／扭蛋／活動區／運河城室內順路
BANDAI NAMCO 的大型角色娛樂複合店，位於キャナルシティ博多サウスビル B1F；官方頁面列為大型店，包含官方商店、遊戲、ガシャポン與活動區。
官方頁面確認地址：福岡市博多区住吉1丁目2-74 キャナルシティ博多 サウスビルB1F。10:00–21:00、定休隨商場。與天神PARCO角色店分屬不同區域。
營業：10:00–21:00
建議停留：45–60 分",official,https://www.google.com/maps/search/?api=1&query=%E3%83%90%E3%83%B3%E3%83%80%E3%82%A4%E3%83%8A%E3%83%A0%E3%82%B3%20Cross%20Store%20%E5%8D%9A%E5%A4%9A%20%E5%8D%9A%E5%A4%9A%E5%8D%80%E3%83%BB%E9%81%8B%E6%B2%B3%E5%9F%8E
GASHAPON BANDAI OFFICIAL SHOP 福岡PARCO店,33.590796,130.398607,動漫,福岡,中央區・天神,"ガシャポン バンダイオフィシャルショップ
BANDAI 官方扭蛋店／330 面扭蛋機／福岡PARCO 本館7F
福岡PARCO 官方頁確認本館 7F，BANDAI 只扱い的官方扭蛋專門店，與草帽商店／蠟筆小新同樓層。
福岡PARCO 官方頁確認：本館7F、全館 10:00–20:30。這是 PARCO 的 BANDAI 官方扭蛋店，不是運河城的 Cross Store。
營業：10:00–20:30
建議停留：15–25 分",official,https://www.google.com/maps/search/?api=1&query=%E3%82%AC%E3%82%B7%E3%83%A3%E3%83%9D%E3%83%B3%20%E3%83%90%E3%83%B3%E3%83%80%E3%82%A4%E3%82%AA%E3%83%95%E3%82%A3%E3%82%B7%E3%83%A3%E3%83%AB%E3%82%B7%E3%83%A7%E3%83%83%E3%83%97%20%E4%B8%AD%E5%A4%AE%E5%8D%80%E3%83%BB%E5%A4%A9%E7%A5%9E
