名稱,緯度,經度,類別,城市,區域,說明,座標精度,Google Maps
AMU PLAZA 小倉,33.886673,130.881887,購物,北九州,北九州市・小倉,"アミュプラザ小倉
小倉站直結／西館＋東館／漫畫博物館同棟
小倉站直結的購物中心，2/4 從門司港回程在小倉轉車時可順逛；同棟有北九州市漫畫博物館。
約 10:00–20:00。
營業：10:00–20:00
建議停留：1–1.5 小時",nominatim,https://www.google.com/maps/search/?api=1&query=%E3%82%A2%E3%83%9F%E3%83%A5%E3%83%97%E3%83%A9%E3%82%B6%E5%B0%8F%E5%80%89%20%E5%8C%97%E4%B9%9D%E5%B7%9E%E5%B8%82%E3%83%BB%E5%B0%8F%E5%80%89
旦過市場,33.881162,130.879482,購物,北九州,北九州市,"北九州的廚房／糠漬（ぬか炊き）／小倉在地小吃
小倉的百年市場，被稱作「北九州的廚房」；名物是青花魚糠漬。
多數攤 10:00–18:00、週日多休；近年火災後部分區域改建中。
建議停留：1 小時",nominatim,https://www.google.com/maps/search/?api=1&query=%E6%97%A6%E9%81%8E%E5%B8%82%E5%A0%B4%20%E5%8C%97%E4%B9%9D%E5%B7%9E%E5%B8%82
湯之坪街道,33.266092,131.363212,購物,大分,由布市,"湯の坪街道
伴手禮與雜貨店／金賞可樂餅・布丁・霜淇淋／Floral Village
由布院駅到金鱗湖之間的主街，兩側都是小店與小吃，是由布院最熱鬧的一段。
⚠️ 多數店 09:00–17:30 就打烊——由布院的夜晚屬於旅館，不要指望晚上逛街。
建議停留：1.5 小時",nominatim,https://www.google.com/maps/search/?api=1&query=%E6%B9%AF%E3%81%AE%E5%9D%AA%E8%A1%97%E9%81%93%20%E7%94%B1%E5%B8%83%E5%B8%82
由布院 由布見通り,33.264966,131.358709,購物,大分,由布市,"由布院站前主街／正對由布岳的街景／工藝與伴手禮店
由布院站正前方的街道，正對由布岳，是湯之坪街道以外的另一條動線，人明顯比湯之坪少。
多數店 09:00–17:30。
建議停留：40 分",google,https://www.google.com/maps/search/?api=1&query=%E7%94%B1%E5%B8%83%E9%99%A2%20%E7%94%B1%E5%B8%83%E8%A6%8B%E9%80%9A%E3%82%8A%20%E7%94%B1%E5%B8%83%E5%B8%82
櫻之馬場 城彩苑,32.803671,130.703756,購物,熊本,熊本市,"桜の馬場 城彩苑
江戶風商店街／熊本鄉土料理／湧湧座（歷史文化體驗）
熊本城下的重現街區，一次吃齊馬肉、太平燕、辛子蓮根等熊本名物。
營業：09:00–18:00
建議停留：1–1.5 小時",google,https://www.google.com/maps/search/?api=1&query=%E6%A1%9C%E3%81%AE%E9%A6%AC%E5%A0%B4%20%E5%9F%8E%E5%BD%A9%E8%8B%91%20%E7%86%8A%E6%9C%AC%E5%B8%82
#FR2 福岡,33.586524,130.39704,購物,福岡,中央區・大名,"兔頭 T／地區限定款
★★ 各店常有地區限定圖案，福岡限定款只有這裡買得到。
福岡県福岡市中央区大名1-1-3 石井ビル 1階 101
營業：週一–週日 11:00–20:00
建議停留：15 分",google,https://www.google.com/maps/search/?api=1&query=%23FR2%20%E7%A6%8F%E5%B2%A1%20%E4%B8%AD%E5%A4%AE%E5%8D%80%E3%83%BB%E5%A4%A7%E5%90%8D
1834 FUKUOKA,33.589675,130.41361,購物,福岡,博多區・博多站前,"1834
LIGHT YEARS 同體系／預約制空間
LIGHT YEARS 體系的預約制空間。
⚠️ 需事前向 LIGHT YEARS 預約才能入場。Google 上查不到 1834 的獨立點位，這個圖釘是 LIGHT YEARS 本店的位置——請以預約時對方給的地址為準。
福岡県福岡市博多区博多駅前3-30-5
營業：週一–週日 11:00–19:00
建議停留：30–45 分",google,https://www.google.com/maps/search/?api=1&query=1834%20%E5%8D%9A%E5%A4%9A%E5%8D%80%E3%83%BB%E5%8D%9A%E5%A4%9A%E7%AB%99%E5%89%8D
Artwork Fukuoka,33.58544,130.396414,購物,福岡,中央區・今泉,"artwork
Factory-market 的女裝線／與 DICE&DICE 同區
★★★★★ Factory-market 的女裝店，和 DICE&DICE 在同一區域，順路。
🗓 定休：週三——本行程在福岡的日子是 2/1(一)、2/2(二)、2/3(三)、2/4(四)、2/10(三)、2/11(四)、2/12(五)，排行程時避開。　店名很通用，導航請認地址不要只認店名。
福岡県福岡市中央区今泉2-5-11 カンファービル 1F
營業：週一–週二 12:00–19:30｜週四–週五 12:00–19:30｜週六–週日 11:00–19:30｜週三休
建議停留：20–30 分",google,https://www.google.com/maps/search/?api=1&query=artwork%20%E4%B8%AD%E5%A4%AE%E5%8D%80%E3%83%BB%E4%BB%8A%E6%B3%89
BAPE STORE 福岡,33.587119,130.39485,購物,福岡,中央區・大名,"BAPE STORE FUKUOKA
A Bathing Ape／鯊魚帽 T
★★★ 經典猿人頭，日本本地價與台灣代理價差距大。
福岡県福岡市中央区大名1-11-28
營業：週一–週日 11:00–19:00
建議停留：20–30 分",google,https://www.google.com/maps/search/?api=1&query=BAPE%20STORE%20FUKUOKA%20%E4%B8%AD%E5%A4%AE%E5%8D%80%E3%83%BB%E5%A4%A7%E5%90%8D
BILLYS 福岡,33.586533,130.397208,購物,福岡,中央區・大名,"BILLYS ENT 福岡店
老牌連鎖鞋店／與 UPTOWN、#FR2 緊鄰
★★ 球鞋連鎖老店，和 UPTOWN、#FR2 就在隔壁，三家一起掃最省時間。
福岡県福岡市中央区大名1-1-2
營業：週一–週日 11:00–20:00
建議停留：15–20 分",google,https://www.google.com/maps/search/?api=1&query=BILLYS%20ENT%20%E7%A6%8F%E5%B2%A1%E5%BA%97%20%E4%B8%AD%E5%A4%AE%E5%8D%80%E3%83%BB%E5%A4%A7%E5%90%8D
